EASTSILK,20200813,1.15,1.15,1.05,1.15,3722
EBANK,20200813,2431.23,2431.23,2431.23,2431.23,1
EBBETF0423,20200813,1078.8,1081.49,1078.75,1081.42,15507
EBBETF0425,20200813,1003,1003.94,1000.52,1000.56,1859
EBBETF0430,20200813,1101.25,1105.5,1099,1104.44,18502
EBBETF0431,20200813,997,997.99,995.81,996.02,8405
EBIXFOREX,20200813,520,520,495,507.6,4553
ECLERX,20200813,544.5,623.15,544.5,623.15,674880
EDELWEISS,20200813,77.5,78.5,75.6,76.75,599411
EICHERMOT,20200813,22116.65,22299.95,21555.15,21672.95,220374
EIDPARRY,20200813,293,295.1,290.2,291.85,627494
EIHAHOTELS,20200813,264,283.8,256.2,271.6,130192
EIHOTEL,20200813,68,77.2,67.6,76.15,6127630
EIMCOELECO,20200813,335,340.05,325.95,335.1,2255
EKC,20200813,24.8,24.95,23.75,23.95,173842
ELECON,20200813,26.4,27.3,26.4,26.8,108828
ELECTCAST,20200813,15.3,16.5,15.2,15.85,1174758
ELECTHERM,20200813,122,139.9,120.05,139.9,221898
ELGIEQUIP,20200813,196.35,219,192.1,215.25,384540
ELGIRUBCO,20200813,16.95,16.95,16.5,16.55,21041
EMAMILTD,20200813,332.2,332.2,308.5,324.9,1096393
EMAMIPAP,20200813,76.45,78.2,74.05,75.3,11861
EMAMIREAL,20200813,43.75,45.1,41.5,41.95,115377
EMKAY,20200813,50.6,53.25,49,52.1,16012
EMMBI,20200813,74.95,79.5,72.4,76.75,12322
ENDURANCE,20200813,998,1003.9,941.2,956.45,57986
ENERGYDEV,20200813,7.1,7.1,6.5,6.65,61052
ENGINERSIN,20200813,65.9,67.9,65.75,67.45,2987319
ENIL,20200813,131.8,134,127.05,131,133582
EQ30,20200813,310.1,334.8,310.05,321,1551
EQUITAS,20200813,52,53.2,51.95,52.7,8894914
ERIS,20200813,565,567,526,531.9,165569
EROSMEDIA,20200813,30.25,30.25,26.5,27.1,2798215
ESABINDIA,20200813,1390,1422,1390,1398.3,4161
ESCORTS,20200813,1120.9,1143,1116,1120.85,1412424
ESSARSHPNG,20200813,12.35,12.75,11.6,12.35,1201700
ESSELPACK,20200813,278.9,281.1,261,265.65,230203
ESTER,20200813,63.85,65.6,63.05,65.05,460319
EUROMULTI,20200813,0.9,0.95,0.9,0.95,3741
EUROTEXIND,20200813,8.05,8.1,8.05,8.1,210
EVEREADY,20200813,135.9,149.5,135.9,147.45,749970
EVERESTIND,20200813,232.7,235.45,229.35,230.45,65970
EXCEL,20200813,0.85,0.85,0.85,0.85,340094
EXCELINDUS,20200813,845,849.8,810,822.35,19322
EXIDEIND,20200813,168.3,169.55,165.25,166.15,2755605
EXPLEOSOL,20200813,362.9,372.8,362,370,17772
FACT,20200813,48.95,49.7,48.75,49,199950
FAIRCHEM,20200813,725,732.85,701.2,708.45,45356
FCL,20200813,32.3,33.75,31.85,33.25,642370
FCONSUMER,20200813,11.25,11.4,11.05,11.2,7547103
FCSSOFT,20200813,0.55,0.55,0.5,0.5,1210333
FDC,20200813,322,330,322,327.65,417777
FEDERALBNK,20200813,54.3,55,53.85,54,24143907
FEL,20200813,17.85,17.85,16.6,16.8,2953467
FELDVR,20200813,17.5,18.35,17.25,17.3,141100
FIEMIND,20200813,486.6,498.5,479.5,492.65,29600
FILATEX,20200813,25.95,26.25,25.25,25.55,144615
FINCABLES,20200813,270.35,278.8,268.4,276.35,300458
FINEORG,20200813,2300,2338,2171.6,2280.55,36987
FINPIPE,20200813,452.65,456,447.2,450.05,21948
